@relation dataset_z

@attribute col0 numeric
@attribute col1 numeric
@attribute col2 numeric
@attribute col3 numeric
@attribute col4 numeric
@attribute col5 numeric
@attribute col6 numeric
@attribute col7 numeric
@attribute col8 numeric
@attribute col9 numeric
@attribute col10 numeric
@attribute col11 {nom_11_0,nom_11_1,nom_11_4,nom_11_2,nom_11_3}
@attribute col12 {nom_12_0,nom_12_1,nom_12_4,nom_12_2,nom_12_3}
@attribute class {class0,class2,class1}

@data
-0.756919,-1.069639,-1.162876,-1.423317,-0.396606,-0.721644,-1.702199,-0.473766,-1.783579,-0.770698,-1.0145,nom_11_0,nom_12_0,class0
-0.40273,-1.07682,-1.43025,-0.362568,-0.696962,-1.253611,-1.058911,-1.112282,-0.723804,-1.004156,-0.624541,nom_11_0,nom_12_0,class0
0.002946,1.027291,0.562065,2.189422,0.78856,1.655113,0.715619,0.832173,1.433326,0.824404,0.471213,nom_11_1,nom_12_1,class0
-0.989195,-0.459705,-0.418899,-0.428135,-0.776518,-0.122148,-0.612852,-0.851129,-0.176161,-0.281009,-0.286,nom_11_0,nom_12_0,class0
0.29531,0.586043,0.707637,-0.252236,-0.318263,-0.180589,0.502045,0.745789,0.097564,0.594431,0.607965,nom_11_1,nom_12_1,class0
0.871942,0.674048,0.536008,0.792318,-0.005015,0.567888,1.016131,0.91651,0.624686,0.202124,0.074284,nom_11_1,nom_12_1,class0
0.667668,0.56005,0.138384,0.937554,0.167188,0.794966,0.093188,0.806733,1.197923,0.999012,-0.109642,nom_11_0,nom_12_0,class0
0.988592,1.541014,2.566139,0.881806,0.789404,0.683896,1.825379,1.297712,0.995778,1.373643,0.661026,nom_11_1,nom_12_1,class0
0.179618,-0.126455,0.22308,0.08987,0.240761,0.819326,-0.142884,0.386958,0.375675,-0.256065,0.694817,nom_11_1,nom_12_1,class0
-1.165094,-1.391398,-0.972432,-1.758828,-1.680797,-1.004571,-0.689492,-0.856298,-2.023601,-1.521468,-0.795653,nom_11_0,nom_12_0,class0
-1.801744,-1.847984,-2.186643,-1.82184,-1.999751,-2.513035,-2.822969,-2.062333,-2.292671,-1.744683,-1.840806,nom_11_0,nom_12_0,class0
-2.726806,-2.869217,-2.379324,-3.111743,-2.840331,-3.029345,-2.375179,-2.072866,-2.892611,-2.050907,-2.317481,nom_11_0,nom_12_0,class0
?,-1.826802,-1.040545,-1.037582,-0.981392,-2.182589,-2.45571,-0.891602,-2.255845,-2.017755,-0.275088,nom_11_0,nom_12_0,class0
-1.112773,-0.886117,-1.429765,-0.822315,-1.351608,-1.191972,-1.61485,-0.761337,-0.650278,-1.664165,-0.852699,nom_11_0,nom_12_0,class0
