@relation dataset_z-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R9-12-weka.filters.unsupervised.instance.Resample-S1-Z0.5

@attribute col1 numeric
@attribute col2 numeric
@attribute col3 numeric
@attribute col4 numeric
@attribute col5 numeric
@attribute col6 numeric
@attribute col7 numeric
@attribute col8 numeric
@attribute class {class0,class2,class1}

@data
0.846574,1.324259,1.604143,1.131799,1.07268,1.512909,1.637046,1.12946,class0
1.903646,2.241744,1.573491,1.867608,1.871899,1.694291,0.943958,1.666958,class0
-0.346322,-0.248204,-0.843345,-1.580539,-1.030973,-0.817691,-1.087156,-0.939576,class0
-0.005841,0.071666,0.801714,-0.243465,1.374134,0.136231,0.787661,0.332034,class0
-1.118314,-1.782362,-1.081524,-1.362108,-2.030526,-2.15302,-1.041734,-1.154921,class0
0.111459,-0.252201,0.452681,0.038661,0.470715,-0.397303,0.260256,0.199537,class0
1.342824,0.829064,0.581332,0.754751,1.139915,0.80651,0.851103,0.430793,class0
-0.104389,-0.258119,-0.281451,0.027636,-0.449066,-0.09056,0.185564,0.107208,class0
-0.103125,-0.33068,-0.069728,-0.482529,0.251734,0.006383,0.641527,-0.621107,class0
2.158889,1.867726,1.166141,1.28091,1.85085,1.691546,2.183852,0.906172,class0
0.403538,0.90215,1.54255,0.598172,0.965294,0.255369,0.899228,0.653877,class0
1.315182,0.850241,1.114308,1.002158,0.74502,2.29037,1.283933,1.433992,class0
-1.199584,-1.238907,-1.097818,-0.263964,-1.107237,-1.522637,-0.156703,-0.776483,class0
-1.081551,-0.497667,-0.992136,-1.274161,-1.353872,-1.019034,-1.430913,-1.555151,class0
0.40562,-0.618052,0.150193,0.266466,-0.16702,0.199873,0.630622,0.289573,class0
0.460358,1.198014,1.553839,1.596896,1.039883,0.885178,2.199095,0.457368,class0
-0.31717,0.347986,-0.159831,1.120686,0.889411,-0.157994,1.01023,0.440492,class0
0.537021,-0.403403,0.264648,0.095665,0.662816,0.473826,0.318888,-0.503525,class0
0.083919,-1.491712,-1.010848,-0.681888,0.126236,-0.148227,0.236822,0.376378,class0
-0.379587,0.360806,0.526333,0.292096,0.215379,-0.513646,0.199473,0.6269,class0
-0.609987,-0.032694,0.346046,-0.907592,-0.571649,-0.676958,0.048823,-0.652804,class0
0.474911,0.357407,0.740321,-0.627833,-0.189875,-0.639886,0.385894,0.185442,class0
0.639682,-0.694054,0.083528,0.437732,0.632476,0.20073,0.235948,1.082525,class0
-0.760267,-0.775702,-0.332257,-0.431035,-0.826931,-0.395358,-1.138335,-0.723052,class0
-0.003978,-0.979817,0.137888,-1.061151,-0.401715,-0.404698,-0.414032,-0.62279,class0
-0.662904,-0.719237,-1.556729,-0.678295,-1.390599,-0.739482,-0.953884,-0.36709,class0
1.704931,0.780017,1.261652,0.600928,0.8926,2.727619,0.459057,0.823334,class0
0.774644,1.505076,1.433008,0.562138,0.669686,0.399064,0.847294,0.543385,class0
0.157621,0.665852,0.530556,0.357599,-0.019751,0.772703,0.426033,0.958672,class0
-0.541127,0.595122,0.900083,0.104989,-0.201605,0.34678,0.294505,-0.137549,class0
0.356959,0.43013,0.237192,0.675549,-0.22537,-0.079109,-0.353126,0.696435,class0
-1.185003,-1.254965,-0.740867,-0.067668,0.092926,-0.183444,-0.85426,-0.882528,class0
0.110504,0.622334,0.553219,0.311511,0.313329,0.028537,1.173605,0.34273,class0
2.949829,1.856214,1.839706,2.072909,2.051548,2.683914,2.12814,3.043224,class0
9.72876,9.039201,10.065811,10.370426,10.049301,9.913132,9.78794,10.143895,class2
0.718164,0.310765,0.490118,0.465344,0.312619,-0.195832,0.428746,0.122978,class0
1.275518,1.938206,1.640363,1.857149,2.318331,1.703456,1.123481,1.930533,class0
0.613338,-0.354299,-0.159519,-0.413495,0.196694,-0.540535,0.181162,-0.826642,class0
-0.643657,-0.89318,-0.736225,-0.676369,-0.475901,-0.479813,-0.248024,0.46031,class0
0.332718,1.064522,1.29768,0.691156,1.52273,0.487338,1.462809,0.964271,class0
0.119144,-0.528711,-0.460964,-0.498095,-0.673236,-0.837362,-0.132637,0.104223,class0
-0.758493,-1.693895,-0.758856,-0.355576,-1.595954,0.094408,-0.695985,-0.892173,class0
1.957578,1.508909,1.1258,0.685289,1.445277,1.503481,0.825897,1.057766,class0
-1.04552,-1.767619,-1.529008,-1.447268,-1.126148,-0.465,-0.935606,-0.783333,class0
0.920828,0.001125,0.518759,0.214406,0.27464,0.749346,-0.241764,0.298872,class0
-0.550603,-1.249916,-0.916671,-0.49293,0.494206,-1.100307,-1.077707,-0.667034,class0
-0.463243,-0.480824,-0.314226,-0.327789,-0.790627,-0.453132,0.076136,0.001279,class0
-0.222627,-0.692743,-0.669046,0.023883,-0.545379,0.051953,-0.429709,-0.292831,class0
-2.156487,-1.737789,-1.831458,-1.406878,-2.636232,-1.436782,-1.112357,-2.095887,class0
0.649284,0.120994,-0.361432,0.31889,0.679258,0.407159,0.898371,1.102998,class0
