@relation 'synthetic_50k_train-weka.filters.unsupervised.attribute.Remove-R1,10-13-weka.filters.unsupervised.instance.Resample-S1-Z0.1'

@attribute col1 numeric
@attribute col2 numeric
@attribute col3 numeric
@attribute col4 numeric
@attribute col5 numeric
@attribute col6 numeric
@attribute col7 numeric
@attribute col8 numeric
@attribute class {class0,class1}

@data
0.19735,1.1278,0.408611,1.505032,0.536269,1.211374,1.442607,1.230091,class0
0.631881,-0.381252,0.055445,0.322812,-0.023679,0.786869,0.320054,0.926615,class0
1.021974,1.357069,1.374587,1.171029,0.691207,0.819029,0.978534,0.781449,class0
1.392338,1.534598,0.439615,1.321494,0.832382,0.993821,1.935927,1.363032,class0
-0.393402,-0.095194,-0.147479,-0.808165,-0.76775,-0.818054,-0.248619,-0.153777,class0
0.504928,0.563772,0.55154,0.71818,0.285582,1.356228,0.133012,0.185493,class0
-0.757239,0.403617,-1.016488,-0.296755,-0.855045,-0.630746,-0.903124,-1.884104,class0
-1.195246,-1.488985,-0.163972,-1.529538,-1.114925,-0.526202,-1.4424,-1.199699,class0
-0.318548,-0.308866,-0.513679,-0.058221,-0.203529,-0.107417,-0.053641,0.310636,class0
0.60366,1.736424,1.405825,1.718227,1.348421,1.201598,1.24219,1.318766,class0
0.884713,0.960629,1.035512,0.51341,0.90461,1.46709,0.678498,0.955575,class0
-0.282768,0.815112,0.28236,0.093282,0.199771,1.150446,0.880264,0.832398,class0
-1.654946,-1.567838,-1.1498,-1.52543,-0.982182,-0.670602,-1.799581,-1.934045,class0
-0.057604,-1.324203,-1.164231,-1.230288,-0.983675,-1.003528,-0.643731,-0.481443,class0
-0.537815,-0.994257,-1.131546,0.401347,-0.506864,-0.079816,-0.32323,-0.463606,class0
-0.063595,-0.404206,-0.871455,-0.795446,-0.882379,-0.026807,-0.707134,-0.968027,class0
0.273667,-0.849425,-0.801854,-0.264544,-0.40135,-0.276967,-0.400548,-0.748687,class0
-0.633294,-0.935989,-0.814798,0.310622,-0.751608,-0.081786,-0.864438,-0.297035,class0
-0.013222,-0.19296,-0.315725,-0.221028,-0.172452,-0.471849,-0.467171,-0.08106,class0
0.661552,0.934187,0.207886,0.343602,0.526286,0.768331,0.063965,0.838182,class0
-0.232464,-0.030115,-0.190368,-0.859002,0.548301,-0.342285,-0.326938,-0.056426,class0
-1.358351,-2.150151,-1.65536,-1.709591,-1.26731,-1.438617,-1.308319,-1.245365,class0
-0.868886,-1.889052,-0.359433,-1.267133,-1.718862,-0.316447,-1.538724,-0.924356,class0
1.039558,0.849385,0.520707,1.434741,1.3088,0.908785,2.007113,0.842044,class0
0.097412,1.944269,0.204261,0.520728,-0.666449,0.273258,1.706443,0.492586,class0
0.140008,0.086655,0.216424,0.925271,0.453804,0.263964,1.132058,-0.932129,class0
-0.314107,-0.048553,-1.047954,-0.646301,0.642951,-1.23442,-0.433174,-0.728711,class0
0.264624,0.337774,-0.449861,0.538907,0.759704,0.205653,0.057615,0.672485,class0
0.7752,1.333187,0.891195,1.069537,1.020641,0.561605,0.970245,1.281211,class0
0.313122,-0.986709,-0.110757,0.699933,0.270256,0.532783,0.641806,0.681347,class0
0.783586,0.187028,0.272531,0.537147,0.09307,0.550277,0.533154,0.216872,class0
0.182269,0.38717,-0.31713,-0.75985,0.993533,0.571087,0.489044,0.570217,class0
0.355206,-0.869006,-0.592637,-0.677164,-0.07803,-0.396664,-0.854319,-0.906701,class0
-0.832713,-0.591353,-0.499915,0.827337,-0.130415,-0.030338,-0.744469,-0.920796,class0
-0.458802,0.374497,0.215348,-0.23329,0.666474,0.874496,0.422787,0.30876,class0
0.229263,1.218632,1.021549,0.935695,0.164716,0.040286,0.602043,1.276367,class0
-2.269964,-2.142153,-1.099368,-2.097946,-1.198517,-1.412845,-2.081943,-2.484692,class0
-0.363062,-0.355479,-0.791895,0.081757,-1.029536,-0.196593,-0.174522,0.019688,class0
-1.279195,-1.077969,-0.969799,-0.925131,-0.830701,-1.837936,-1.256735,-0.922807,class0
0.39961,0.623581,0.17917,0.473325,0.644286,0.14995,-0.446102,0.66673,class0
-1.023069,-0.084504,-0.764642,-0.183955,-0.820714,-0.553277,-0.340372,-0.726558,class0
-0.086408,0.460597,0.208832,-0.04702,-0.512724,-0.068532,0.328048,0.704286,class0
0.495275,-0.27372,-0.635858,0.5222,0.29751,0.490466,0.247749,-0.255161,class0
-1.279655,-2.031058,-1.612516,-0.603041,-1.383569,-1.569852,-1.440605,-1.138526,class0
-0.993277,-1.418824,-0.386399,-1.291132,0.104277,-0.909381,-0.532632,-0.790522,class0
-1.180972,-1.394897,-1.138291,-1.664226,-1.716372,-1.2427,-1.288966,-1.280562,class0
-0.273354,-0.514808,0.466749,0.031726,0.179755,0.439714,0.071181,-0.464171,class0
-0.202004,-0.522079,-0.454482,-0.414475,0.04404,-0.938989,0.07576,-0.86072,class0
-0.877894,-0.51961,0.094663,-0.141875,-0.149868,0.009586,-1.244745,-1.443438,class0
-1.314491,-0.605307,-1.514977,-2.092955,-1.058955,-1.102327,-1.25525,-1.841725,class0
