@relation 'wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.unsupervised.attribute.RandomSubset-N8.0-S1-weka.filters.supervised.instance.Resample-B0.0-S1-Z1.4582-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RandomSubset -N 8.0 -S 1-Fweka.filters.supervised.instance.Resample -B 0.0 -S 1 -Z 1.4582'

@attribute volacid numeric
@attribute residualsugar numeric
@attribute chlorides numeric
@attribute freesulfur numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
0.25,11.3,0.049,77,0.9966,3.24,0.52,9.5,6
0.24,0.6,0.042,11,0.9926,3.08,0.38,10.6,5
0.17,7.4,0.052,49,0.9958,3.35,0.52,9.6,6
0.47,8.9,0.043,31,0.9964,3.22,0.6,9.2,5
0.22,11,0.041,75,0.99508,2.98,0.56,10.5,6
0.5,11.3,0.029,32,0.99302,3.27,0.78,12.9,8
0.21,1.7,0.038,41,0.9933,3.49,0.71,10.5,7
0.29,4.6,0.029,27,0.9931,3.07,0.26,10.6,6
0.27,8.8,0.047,65,0.9961,3.17,0.47,8.9,5
0.34,1.3,0.057,25,0.9948,3.26,0.51,9.1,6
0.32,4,0.038,33,0.99463,3.27,0.64,10.2,6
0.34,3.3,0.034,29,0.99031,3.1,0.4,12.3,7
0.23,13,0.051,72,0.9972,3.16,0.49,9.8,5
0.36,10.1,0.053,29,0.9982,3.4,0.46,9.5,6
0.26,8.3,0.037,49,0.99601,3.17,0.47,9.3,5
0.18,14.5,0.051,48,0.99947,3.35,0.78,9.1,5
0.32,7,0.045,30,0.9949,3.18,0.47,9.6,6
0.33,13.2,0.056,12,0.9972,3.05,0.39,9.2,5
0.29,9,0.053,62,0.99685,3.02,0.45,8.9,5
0.16,7.3,0.043,9,0.9953,3.13,0.59,10.5,6
0.1,1,0.031,33,0.99094,3.06,0.68,11.2,6
0.36,1.95,0.033,26,0.98934,3.2,0.45,13.5,7
0.24,8.7,0.036,29,0.9952,3.22,0.62,9.9,6
0.19,1.2,0.036,32,0.9918,3.16,0.5,10.5,5
0.34,8,0.046,55,0.996,3.08,0.52,10.7,6
0.655,2,0.039,21,0.99188,3,1,12.6,6
0.3,1.5,0.034,37,0.98871,2.96,0.34,12.1,6
0.22,4.5,0.036,81,0.9928,3.05,0.76,10.7,7
0.19,4,0.037,6,0.99255,2.92,0.59,10.4,4
0.295,1.1,0.035,40,0.99154,3.47,0.56,10.6,6
0.14,1.1,0.034,36,0.99136,3.05,0.55,11.6,6
0.24,9,0.023,20,0.99262,3.34,0.35,12.6,6
0.24,13,0.052,18,0.99825,3.37,0.49,9.4,6
0.3,2.5,0.045,32,0.99329,3.18,0.54,10.3,5
0.2,6.8,0.049,22,0.9928,3.15,0.42,11,6
0.2,1.8,0.03,30,0.9909,3.31,0.47,11.5,6
0.26,1.1,0.027,46,0.98946,3.35,0.43,11.4,7
0.32,16.2,0.055,36,0.9986,3.26,0.54,9.1,5
0.39,11,0.044,55,0.9974,3.09,0.44,8.7,6
0.23,13.7,0.052,47,0.99865,3.12,0.53,9,5
0.32,10.4,0.031,47,0.99692,3.07,0.58,9.6,6
0.23,4.6,0.039,43,0.99216,3.18,0.4,11,7
0.27,16.1,0.049,55,0.9984,3.15,0.5,9.3,5
0.12,1,0.038,23,0.99164,3.25,0.45,9.8,5
0.24,2.8,0.038,41,0.99155,3.37,0.66,11.7,7
0.26,1.1,0.042,9,0.9915,2.89,0.5,10.6,5
0.46,0.9,0.054,5,0.992,3.1,0.42,10.4,6
0.22,1.8,0.057,29,0.9959,3.81,0.57,10.3,6
0.19,1.9,0.04,41,0.99,3.25,0.45,12.9,6
0.15,4.4,0.029,14,0.99347,3.24,0.46,10.4,8
